country,country_code_2_digit,country_code_3_digit,population,cases_count,deaths_count,source,reported_date
Belarus,BY,BLR,9449321,,7,"Epidemic intelligence, national daily data",2020-07-08
Croatia,HR,HRV,4076246,,0,"Epidemic intelligence, national daily data",2020-01-09
Italy,IT,ITA,60359546,,0,"Epidemic intelligence, national daily data",2020-01-18
Liechtenstein,LI,LIE,38378,,0,"Epidemic intelligence, national daily data",2020-10-03
Ireland,IE,IRL,4904240,,2,"Epidemic intelligence, national daily data",2020-10-02
Armenia,AM,ARM,2963234,,3,"Epidemic intelligence, national daily data",2020-08-13
Slovakia,SK,SVK,5450421,,0,"Epidemic intelligence, national daily data",2020-01-24
Latvia,LV,LVA,1919968,,0,"Epidemic intelligence, national daily data",2020-05-10
Portugal,PT,PRT,10276617,,16,"Epidemic intelligence, national daily data",2020-10-23
Poland,PL,POL,37972812,,12,"Epidemic intelligence, national daily data",2020-09-20
Austria,AT,AUT,8858775,,0,"Epidemic intelligence, national daily data",2020-03-10
Portugal,PT,PRT,10276617,,26,"Epidemic intelligence, national daily data",2020-04-11
Croatia,HR,HRV,4076246,,0,"Epidemic intelligence, national daily data",2020-02-21
Norway,NO,NOR,5328212,,2,"Epidemic intelligence, national daily data",2020-04-29
Latvia,LV,LVA,1919968,,0,"Epidemic intelligence, national daily data",2020-05-11
Faroes,,,48865,,0,"Epidemic intelligence, national daily data",2020-09-16
Andorra,AD,AND,76177,,0,"Epidemic intelligence, national daily data",2020-09-28
Lithuania,LT,LTU,2794184,,0,"Epidemic intelligence, national daily data",2020-02-21
Denmark,DK,DNK,5806081,,0,"Epidemic intelligence, national daily data",2020-08-01
Norway,NO,NOR,5328212,,0,"Epidemic intelligence, national daily data",2020-09-22
Belarus,BY,BLR,9449321,,0,"Epidemic intelligence, national daily data",2020-02-14
Albania,AL,ALB,2862427,,4,"Epidemic intelligence, national daily data",2020-07-29
Belarus,BY,BLR,9449321,,6,"Epidemic intelligence, national daily data",2020-08-01
Monaco,MC,MCO,33085,,0,"Epidemic intelligence, national daily data",2020-02-03
Serbia,RS,SRB,6963764,,0,"Epidemic intelligence, national daily data",2020-02-26
Cyprus,CY,CYP,875899,,0,"Epidemic intelligence, national daily data",2020-01-13
Georgia,GE,GEO,3989175,,7,"Epidemic intelligence, national daily data",2020-10-15
Lithuania,LT,LTU,2794184,,0,"Epidemic intelligence, national daily data",2020-08-03
Kosovo,,,1798506,,0,"Epidemic intelligence, national daily data",2020-01-12
Isle of Man,,,85032,,0,"Epidemic intelligence, national daily data",2020-02-16
Italy,IT,ITA,60359546,,31,"Epidemic intelligence, national daily data",2020-10-08
Switzerland,CH,CHE,8544527,,1,"Epidemic intelligence, national daily data",2020-10-19
Montenegro,ME,MNE,622182,,0,"Epidemic intelligence, national daily data",2020-07-13
Albania,AL,ALB,2862427,,0,"Epidemic intelligence, national daily data",2020-02-04
Bulgaria,BG,BGR,7000039,,2,"Epidemic intelligence, national daily data",2020-04-07
Portugal,PT,PRT,10276617,,9,"Epidemic intelligence, national daily data",2020-06-12
North Macedonia,MK,MKD,2077132,,1,"Epidemic intelligence, national daily data",2020-06-03
Estonia,EE,EST,1324820,,0,"Epidemic intelligence, national daily data",2020-02-21
the Holy See/ Vatican City State,VA,VAT,809,,0,"Epidemic intelligence, national daily data",2020-02-12
Italy,IT,ITA,60359546,,0,"Epidemic intelligence, national daily data",2020-06-25
Slovenia,SI,SVN,2080908,,5,"Epidemic intelligence, national daily data",2020-04-18
Luxembourg,LU,LUX,613894,,0,"Epidemic intelligence, national daily data",2020-06-04
the Holy See/ Vatican City State,VA,VAT,809,,0,"Epidemic intelligence, national daily data",2020-03-17
Armenia,AM,ARM,2963234,,0,"Epidemic intelligence, national daily data",2020-10-15
Denmark,DK,DNK,5806081,,1,"Epidemic intelligence, national daily data",2020-09-23
Azerbaijan,AZ,AZE,10139175,,0,"Epidemic intelligence, national daily data",2020-03-20
San Marino,SM,SMR,34453,,0,"Epidemic intelligence, national daily data",2020-01-12
Andorra,AD,AND,76177,,0,"Epidemic intelligence, national daily data",2020-01-13
Liechtenstein,LI,LIE,38378,,0,"Epidemic intelligence, national daily data",2020-10-19
Portugal,PT,PRT,10276617,,12,"Epidemic intelligence, national daily data",2020-06-03
Ukraine,UA,UKR,43733759,,13,"Epidemic intelligence, national daily data",2020-07-07
Slovakia,SK,SVK,5450421,,0,"Epidemic intelligence, national daily data",2020-06-08
Croatia,HR,HRV,4076246,,0,"Epidemic intelligence, national daily data",2020-03-13
Sweden,SE,SWE,10230185,,46,"Epidemic intelligence, national daily data",2020-06-01
Czechia,CZ,CZE,10649800,,0,"Epidemic intelligence, national daily data",2020-08-14
Jersey,JE,JEY,107796,,0,"Epidemic intelligence, national daily data",2020-10-17
Turkey,TR,TUR,82003882,,17,"Epidemic intelligence, national daily data",2020-07-16
Spain,ES,ESP,46937060,,0,"Epidemic intelligence, national daily data",2020-01-03
Greece,EL,GRC,10724599,,0,"Epidemic intelligence, national daily data",2020-06-07
Portugal,PT,PRT,10276617,,27,"Epidemic intelligence, national daily data",2020-04-20
Hungary,HU,HUN,9772756,,2,"Epidemic intelligence, national daily data",2020-08-14
Belgium,BE,BEL,11455519,,0,"Epidemic intelligence, national daily data",2020-02-15
Monaco,MC,MCO,33085,,0,"Epidemic intelligence, national daily data",2020-05-19
Croatia,HR,HRV,4076246,,0,"Epidemic intelligence, national daily data",2020-03-31
Norway,NO,NOR,5328212,,4,"Epidemic intelligence, national daily data",2020-04-11
Andorra,AD,AND,76177,,1,"Epidemic intelligence, national daily data",2020-04-22
Ireland,IE,IRL,4904240,,57,"Epidemic intelligence, national daily data",2020-04-29
Liechtenstein,LI,LIE,38378,,0,"Epidemic intelligence, national daily data",2020-04-16
North Macedonia,MK,MKD,2077132,,0,"Epidemic intelligence, national daily data",2020-01-04
Liechtenstein,LI,LIE,38378,,0,"Epidemic intelligence, national daily data",2020-07-15
Guernsey,GG,GGY,64468,,0,"Epidemic intelligence, national daily data",2020-05-25
